Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	FMDALA_23545|LE19-84	ALDGEK_11420	97.18	94.67	75
LE17-10A	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_23545|LE19-84	EIDGHK_15910	98.59	94.67	75
LE17-20C	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
LE18-22	FMDALA_23545|LE19-84	HENFNN_23390	98.59	94.67	75
LE18-22	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
LE19-10	FMDALA_05445|LE19-84	PGKGJD_24460	99.62	100.0	261
LE19-10	FMDALA_23545|LE19-84	PGKGJD_07295	100.0	94.67	75
LE19-114	FMDALA_23545|LE19-84	OCDKLD_21135	93.24	98.67	75
LE19-114	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
LE19-12	FMDALA_05445|LE19-84	GMBOIL_11935	91.94	95.02	261
LE19-12	FMDALA_23545|LE19-84	Unmatched	0.0	0.0	0
LE19-131	FMDALA_23545|LE19-84	FLBHPM_07225	100.0	94.67	75
LE19-131	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
LE19-13	FMDALA_23545|LE19-84	IDJNMB_19825	95.77	94.67	75
LE19-13	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
LE19-195	FMDALA_23545|LE19-84	BHKFFO_15195	100.0	94.67	75
LE19-195	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
LE19-196	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
LE19-196	FMDALA_23545|LE19-84	Unmatched	0.0	0.0	0
LE19-197	FMDALA_05445|LE19-84	KBOODB_07645	91.94	95.02	261
LE19-197	FMDALA_23545|LE19-84	KBOODB_21165	94.37	94.67	75
LE19-251	FMDALA_05445|LE19-84	IHLHBL_07610	99.62	100.0	261
LE19-251	FMDALA_23545|LE19-84	IHLHBL_18390	100.0	94.67	75
LE19-281	FMDALA_05445|LE19-84	HOOJMB_09880	99.62	100.0	261
LE19-281	FMDALA_23545|LE19-84	Unmatched	0.0	0.0	0
LE19-338	FMDALA_23545|LE19-84	IJGFIK_01310	97.18	94.67	75
LE19-338	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
LE19-388	FMDALA_23545|LE19-84	KAKDBB_14520	98.59	94.67	75
LE19-388	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
LE19-41	FMDALA_05445|LE19-84	GLFEAL_05600	99.62	100.0	261
LE19-41	FMDALA_23545|LE19-84	GLFEAL_23840	97.18	94.67	75
LE19-4	FMDALA_23545|LE19-84	FPMLKI_02325	95.77	94.67	75
LE19-4	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
LE19-55	FMDALA_23545|LE19-84	JGHBBJ_07315	95.77	94.67	75
LE19-55	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
LE19-59	FMDALA_05445|LE19-84	GOKBEH_14035	99.62	100.0	261
LE19-59	FMDALA_23545|LE19-84	GOKBEH_20755	97.18	94.67	75
LE19-84	FMDALA_05445|LE19-84	FMDALA_05445	100.0	100.0	261
LE19-84	FMDALA_23545|LE19-84	FMDALA_23545	100.0	100.0	75
LE19-8	FMDALA_23545|LE19-84	MPFDBK_00410	98.59	94.67	75
LE19-8	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
LE19-98	FMDALA_23545|LE19-84	NEOKJN_02635	95.77	94.67	75
LE19-98	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
Microcystis_aeruginosa_BS13-10	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
Microcystis_aeruginosa_BS13-10	FMDALA_23545|LE19-84	Unmatched	0.0	0.0	0
Microcystis_aeruginosa_LE3	FMDALA_05445|LE19-84	Unmatched	0.0	0.0	0
Microcystis_aeruginosa_LE3	FMDALA_23545|LE19-84	Unmatched	0.0	0.0	0
