Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_19745|LE19-12	EIDGHK_17080	98.36	100.00	669
GMBOIL_19750|LE19-12	EIDGHK_17085	97.72	100.00	483
GMBOIL_19755|LE19-12	EIDGHK_17090	97.04	100.00	810
GMBOIL_19760|LE19-12	EIDGHK_17095	96.00	100.00	225
GMBOIL_19765|LE19-12	EIDGHK_12810	92.85	98.05	1641
GMBOIL_19775|LE19-12	EIDGHK_12825	90.44	100.00	366
GMBOIL_21685|LE19-12	EIDGHK_12460	95.31	100.00	213
GMBOIL_21690|LE19-12	EIDGHK_12465	94.12	100.29	678
GMBOIL_21695|LE19-12	EIDGHK_12470	97.94	100.00	291
GMBOIL_21700|LE19-12	EIDGHK_12475	95.47	100.00	906
GMBOIL_21705|LE19-12	EIDGHK_12480	97.68	98.22	1011
GMBOIL_21715|LE19-12	EIDGHK_14515	98.04	100.00	2091
GMBOIL_21720|LE19-12	EIDGHK_14510	98.02	100.00	756
GMBOIL_21725|LE19-12	EIDGHK_14505	99.50	100.00	798
GMBOIL_21730|LE19-12	EIDGHK_14500	96.58	100.00	468
GMBOIL_21735|LE19-12	EIDGHK_14495	95.64	100.00	849
GMBOIL_21740|LE19-12	EIDGHK_14490	98.33	85.89	489
GMBOIL_21745|LE19-12	EIDGHK_14485	97.00	100.00	300
GMBOIL_21750|LE19-12	EIDGHK_14480	97.85	100.00	1161
GMBOIL_21755|LE19-12	EIDGHK_14475	98.22	100.00	1239
GMBOIL_21760|LE19-12	EIDGHK_14470	98.72	100.00	390
GMBOIL_19740|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19770|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21710|LE19-12	Unmatched	0.0	0.0	0
