Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_19390|LE19-12	FKFHLE_18470	96.56	100.00	378
GMBOIL_19395|LE19-12	FKFHLE_18465	95.24	100.00	462
GMBOIL_19405|LE19-12	FKFHLE_18100	97.64	100.00	3054
GMBOIL_19415|LE19-12	FKFHLE_18090	97.26	100.00	876
GMBOIL_19420|LE19-12	FKFHLE_18085	97.00	100.00	600
GMBOIL_19425|LE19-12	FKFHLE_18080	97.41	96.31	921
GMBOIL_19435|LE19-12	FKFHLE_02085	97.48	96.36	165
GMBOIL_19445|LE19-12	FKFHLE_02090	97.72	100.00	789
GMBOIL_19450|LE19-12	FKFHLE_02095	98.37	100.00	735
GMBOIL_19455|LE19-12	FKFHLE_12460	96.90	100.00	258
GMBOIL_19465|LE19-12	FKFHLE_02280	96.64	100.00	327
GMBOIL_19475|LE19-12	FKFHLE_10045	76.67	101.27	474
GMBOIL_19430|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19440|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19460|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19470|LE19-12	Unmatched	0.0	0.0	0
