Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_01595|LE19-84	FKFHLE_13380	96.61	100.00	354
FMDALA_01600|LE19-84	FKFHLE_13375	97.54	100.00	771
FMDALA_01605|LE19-84	FKFHLE_13370	97.93	100.00	1209
FMDALA_01610|LE19-84	FKFHLE_13365	97.70	100.00	783
FMDALA_01615|LE19-84	FKFHLE_13360	97.13	100.00	1116
FMDALA_01620|LE19-84	FKFHLE_13355	97.36	100.00	531
FMDALA_06000|LE19-84	FKFHLE_12220	96.19	100.00	762
FMDALA_06005|LE19-84	FKFHLE_12140	98.08	100.00	312
FMDALA_06010|LE19-84	FKFHLE_12145	98.30	100.00	1527
FMDALA_06015|LE19-84	FKFHLE_12150	98.33	100.00	120
FMDALA_06020|LE19-84	FKFHLE_12155	99.17	100.00	120
FMDALA_06025|LE19-84	FKFHLE_12160	99.26	100.00	135
FMDALA_06030|LE19-84	FKFHLE_12165	98.78	100.00	246
FMDALA_06035|LE19-84	FKFHLE_12170	98.09	100.00	993
FMDALA_06040|LE19-84	FKFHLE_12175	98.85	100.00	348
FMDALA_06050|LE19-84	FKFHLE_15335	99.63	100.00	267
FMDALA_06555|LE19-84	FKFHLE_08950	98.99	100.00	198
FMDALA_06560|LE19-84	FKFHLE_08955	97.05	100.00	576
FMDALA_06570|LE19-84	FKFHLE_08960	95.64	100.00	1398
FMDALA_06575|LE19-84	FKFHLE_08965	97.63	100.00	930
FMDALA_06580|LE19-84	FKFHLE_08970	98.01	100.00	453
FMDALA_06590|LE19-84	FKFHLE_15705	96.27	100.00	831
FMDALA_09765|LE19-84	FKFHLE_15385	97.52	87.68	276
FMDALA_09770|LE19-84	FKFHLE_15380	98.61	100.00	216
FMDALA_09775|LE19-84	FKFHLE_15375	99.38	100.00	324
FMDALA_06045|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06540|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06545|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06550|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06565|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06585|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06595|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09755|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09760|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09780|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09785|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09790|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09795|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09800|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09805|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09810|LE19-84	Unmatched	0.0	0.0	0
