Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_09390|LE19-12	ALDGEK_10110	97.21	100.00	501
GMBOIL_09395|LE19-12	ALDGEK_10105	96.45	100.00	1746
GMBOIL_09405|LE19-12	ALDGEK_10095	99.27	100.00	273
GMBOIL_09410|LE19-12	ALDGEK_10090	96.91	100.00	744
GMBOIL_09415|LE19-12	ALDGEK_10085	93.84	77.25	189
GMBOIL_09420|LE19-12	ALDGEK_11895	100.00	100.00	405
GMBOIL_09425|LE19-12	ALDGEK_11890	98.42	100.00	1077
GMBOIL_09430|LE19-12	ALDGEK_11885	99.09	100.00	1752
GMBOIL_09435|LE19-12	ALDGEK_11875	97.25	99.98	4212
GMBOIL_09440|LE19-12	ALDGEK_11870	97.59	100.00	7722
GMBOIL_09445|LE19-12	ALDGEK_11865	98.12	100.00	3237
GMBOIL_09450|LE19-12	ALDGEK_11860	97.34	100.06	6498
GMBOIL_09455|LE19-12	ALDGEK_11855	97.88	100.08	1179
GMBOIL_09460|LE19-12	ALDGEK_11850	99.62	100.00	1065
GMBOIL_09465|LE19-12	ALDGEK_11845	99.19	100.00	1731
GMBOIL_09400|LE19-12	Unmatched	0.0	0.0	0
