Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_05090|LE19-84	EIDGHK_08135	95.58	100.00	294
FMDALA_05095|LE19-84	EIDGHK_08130	95.83	98.51	1071
FMDALA_05100|LE19-84	EIDGHK_08125	96.45	100.00	705
FMDALA_05110|LE19-84	EIDGHK_08115	95.65	100.00	828
FMDALA_05115|LE19-84	EIDGHK_08110	97.75	100.00	1155
FMDALA_05120|LE19-84	EIDGHK_08105	97.36	100.00	1590
FMDALA_07745|LE19-84	EIDGHK_18980	96.36	100.00	1155
FMDALA_07750|LE19-84	EIDGHK_18985	97.20	100.00	393
FMDALA_07925|LE19-84	EIDGHK_08090	97.27	100.00	915
FMDALA_12305|LE19-84	EIDGHK_01025	96.31	98.81	1263
FMDALA_12315|LE19-84	EIDGHK_14355	96.96	97.05	1254
FMDALA_12320|LE19-84	Unmatched	0.0	0.0	0
FMDALA_12325|LE19-84	Unmatched	0.0	0.0	0
