Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_03675|LE19-84	ALDGEK_07850	96.18	100.00	786
FMDALA_03680|LE19-84	ALDGEK_03215	95.03	100.04	2637
FMDALA_03685|LE19-84	ALDGEK_03210	95.60	99.84	615
FMDALA_03690|LE19-84	ALDGEK_09600	96.63	99.91	1098
FMDALA_03695|LE19-84	ALDGEK_09595	97.84	100.00	1389
FMDALA_03700|LE19-84	ALDGEK_09590	99.15	100.00	234
FMDALA_03705|LE19-84	ALDGEK_09585	97.30	100.00	630
FMDALA_03710|LE19-84	ALDGEK_09580	97.44	100.00	702
FMDALA_03715|LE19-84	ALDGEK_09575	93.37	97.08	171
FMDALA_03720|LE19-84	ALDGEK_09570	94.51	100.26	1944
FMDALA_03725|LE19-84	ALDGEK_09565	96.55	99.51	408
FMDALA_03730|LE19-84	ALDGEK_09560	95.26	100.40	252
FMDALA_03735|LE19-84	ALDGEK_09555	97.50	100.00	759
FMDALA_03740|LE19-84	ALDGEK_09550	97.46	100.00	393
FMDALA_10760|LE19-84	ALDGEK_07845	95.69	100.00	1044
FMDALA_10810|LE19-84	ALDGEK_07835	95.36	100.00	453
FMDALA_03670|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10755|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10765|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10770|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10775|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10780|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10785|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10790|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10795|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10800|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10805|LE19-84	Unmatched	0.0	0.0	0
