Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_00155|LE19-12	JAMHJB_00670	98.51	89.78	225
GMBOIL_04455|LE19-12	JAMHJB_00685	97.32	100.00	261
GMBOIL_10150|LE19-12	JAMHJB_06320	97.65	100.00	639
GMBOIL_10155|LE19-12	JAMHJB_06325	98.41	100.00	753
GMBOIL_10160|LE19-12	JAMHJB_06330	98.57	100.00	1116
GMBOIL_10165|LE19-12	JAMHJB_06335	96.96	100.00	657
GMBOIL_10170|LE19-12	JAMHJB_06340	98.07	100.00	519
GMBOIL_10175|LE19-12	JAMHJB_06345	99.66	99.66	294
GMBOIL_10180|LE19-12	JAMHJB_06350	99.28	100.00	279
GMBOIL_16845|LE19-12	JAMHJB_00680	93.75	99.15	468
GMBOIL_16850|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_16855|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_16860|LE19-12	Unmatched	0.0	0.0	0
