Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	accA	ALDGEK_14985	97.78	100.0	990
LE17-10A	allA	ALDGEK_01815	97.98	100.0	495
LE17-10A	apcECpcD	ALDGEK_18495	98.52	100.0	879
LE17-10A	argF	ALDGEK_07125	97.73	100.0	927
LE17-10A	argG	ALDGEK_05665	97.43	100.0	1206
LE17-10A	aroE	ALDGEK_11245	98.13	100.0	909
LE17-10A	aroK	ALDGEK_01380	99.48	99.83	573
LE17-10A	arsR	ALDGEK_15790	96.76	100.0	339
LE17-10A	atp1	ALDGEK_06610	96.93	100.0	423
LE17-10A	atpB	ALDGEK_06605	98.53	100.0	750
LE17-10A	atpE	ALDGEK_06600	99.59	100.0	246
LE17-10A	atpF	ALDGEK_06590	98.71	100.0	543
LE17-10A	atpG	ALDGEK_06575	97.68	100.0	948
LE17-10A	atpH	ALDGEK_06585	98.36	100.0	549
LE17-10A	bioB	ALDGEK_03330	97.08	100.0	1095
LE17-10A	bioY	ALDGEK_03335	97.7	100.0	651
LE17-10A	btpA	ALDGEK_02275	97.65	94.72	852
LE17-10A	cbbL	ALDGEK_06900	98.16	100.0	1416
LE17-10A	cbiT	ALDGEK_17620	96.11	100.0	591
LE17-10A	ccb1	ALDGEK_06185	98.46	100.0	519
LE17-10A	ccmK1~~~ccmK	ALDGEK_06920	97.95	100.0	342
LE17-10A	ccmL	ALDGEK_06915	97.43	99.68	312
LE17-10A	ccsB	ALDGEK_13015	97.57	100.0	987
LE17-10A	cdsA	ALDGEK_17615	96.93	100.0	912
LE17-10A	citT	ALDGEK_06275	96.17	100.0	1800
LE17-10A	clpX	ALDGEK_18075	98.05	100.0	1335
LE17-10A	coaD	ALDGEK_06665	95.99	100.0	474
LE17-10A	cobC	ALDGEK_15675	97.38	100.0	1338
LE17-10A	cobD	ALDGEK_22250	95.42	95.54	1098
LE17-10A	cobQ	ALDGEK_09990	98.1	100.0	1476
LE17-10A	cofG	ALDGEK_12135	96.62	100.0	888
LE17-10A	cpcB	ALDGEK_18485	98.27	100.0	519
LE17-10A	cpcT1	ALDGEK_14935	96.58	100.0	585
LE17-10A	cpsB	ALDGEK_10230	97.74	100.0	1062
LE17-10A	crcB	ALDGEK_04340	94.87	100.0	390
LE17-10A	csdA	ALDGEK_19910	95.97	100.0	1215
LE17-10A	ctaA	ALDGEK_02220	97.24	99.23	912
LE17-10A	cyoC	ALDGEK_02205	98.06	98.88	624
LE17-10A	cysQ	ALDGEK_03390	97.15	100.0	876
LE17-10A	dacB	ALDGEK_13970	96.05	99.89	888
LE17-10A	ddl	ALDGEK_18510	98.39	100.0	1059
LE17-10A	dndE	ALDGEK_08605	97.49	100.0	399
LE17-10A	dusA	ALDGEK_11110	96.83	95.04	1029
LE17-10A	elsH	ALDGEK_21925	96.68	100.0	783
LE17-10A	eno	ALDGEK_11795	97.0	100.0	1299
LE17-10A	fabB	ALDGEK_06835	97.74	98.22	1125
LE17-10A	fabH	ALDGEK_01170	97.03	100.0	975
LE17-10A	fabZ	ALDGEK_13440	96.88	100.0	480
LE17-10A	fkpA	ALDGEK_07205	97.11	100.0	519
LE17-10A	fmt	ALDGEK_14175	96.12	100.1	978
LE17-10A	folB	ALDGEK_07730	96.08	100.0	357
LE17-10A	folE	ALDGEK_02840	98.14	100.0	699
LE17-10A	frr	ALDGEK_02895	98.0	100.0	549
LE17-10A	galM	ALDGEK_11615	96.33	100.0	873
LE17-10A	gcvT	ALDGEK_12465	97.74	99.91	1107
LE17-10A	gdhA	ALDGEK_10960	96.6	97.96	1323
LE17-10A	gloA	ALDGEK_20410	97.29	100.0	258
LE17-10A	gloB	ALDGEK_03965	97.17	100.0	672
LE17-10A	glpG	ALDGEK_07745	97.7	100.0	609
LE17-10A	gph	ALDGEK_08095	97.27	100.0	696
LE17-10A	group_10147	ALDGEK_12830	95.94	100.0	468
LE17-10A	group_10188	ALDGEK_18250	96.83	100.0	663
LE17-10A	group_1022	ALDGEK_01460	98.53	100.0	204
LE17-10A	group_10347	ALDGEK_07725	96.09	100.0	921
LE17-10A	group_11121	ALDGEK_16390	98.86	100.0	876
LE17-10A	group_11207	ALDGEK_00645	98.39	100.0	435
LE17-10A	group_11382	ALDGEK_10520	96.72	100.0	945
LE17-10A	group_11505	ALDGEK_06895	99.0	100.0	399
LE17-10A	group_11521	ALDGEK_20890	98.41	100.0	378
LE17-10A	group_11598	ALDGEK_15680	97.36	100.24	1245
LE17-10A	group_11742	ALDGEK_09615	97.46	100.0	315
LE17-10A	group_11811	ALDGEK_01935	96.71	100.0	243
LE17-10A	group_12083	ALDGEK_05230	98.33	100.0	240
LE17-10A	group_12240	ALDGEK_20405	97.67	100.0	729
LE17-10A	group_12312	ALDGEK_06925	99.04	100.0	312
