Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_05090|LE19-84	EIBFDN_11300	96.60	100.00	294
FMDALA_05095|LE19-84	EIBFDN_11305	96.26	99.91	1071
FMDALA_05100|LE19-84	EIBFDN_11310	96.03	100.00	705
FMDALA_05110|LE19-84	EIBFDN_11320	94.81	100.12	828
FMDALA_05115|LE19-84	EIBFDN_11325	97.84	100.00	1155
FMDALA_05120|LE19-84	EIBFDN_11330	97.67	100.00	1590
FMDALA_07745|LE19-84	EIBFDN_11640	96.02	100.00	1155
FMDALA_07750|LE19-84	EIBFDN_11645	96.95	100.00	393
FMDALA_07925|LE19-84	EIBFDN_11340	96.83	100.00	915
FMDALA_12305|LE19-84	EIBFDN_14195	96.39	98.73	1263
FMDALA_12315|LE19-84	EIBFDN_03860	96.55	97.05	1254
FMDALA_12320|LE19-84	Unmatched	0.0	0.0	0
FMDALA_12325|LE19-84	Unmatched	0.0	0.0	0
