Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_04105|LE19-114	ALDGEK_20095	100.00	100.00	118
OCDKLD_04110|LE19-114	ALDGEK_21290	98.28	100.00	291
OCDKLD_04170|LE19-114	ALDGEK_21260	96.15	99.88	807
OCDKLD_04175|LE19-114	ALDGEK_21255	98.29	100.00	1875
OCDKLD_04180|LE19-114	ALDGEK_00945	98.47	100.00	1110
OCDKLD_04185|LE19-114	ALDGEK_00950	97.33	75.06	3396
OCDKLD_04190|LE19-114	ALDGEK_00955	98.57	99.72	351
OCDKLD_04195|LE19-114	ALDGEK_00960	93.51	99.68	309
OCDKLD_04200|LE19-114	ALDGEK_00965	99.80	100.00	498
OCDKLD_04205|LE19-114	ALDGEK_00970	100.00	100.00	105
OCDKLD_04210|LE19-114	ALDGEK_00975	98.42	100.00	633
OCDKLD_18855|LE19-114	ALDGEK_04265	96.52	100.88	114
OCDKLD_04115|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04120|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04125|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04130|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04135|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04140|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04145|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04150|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04155|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04160|LE19-114	Unmatched	0.0	0.0	0
