Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_04105|LE19-114	JAMHJB_07125	99.13	97.46	118
OCDKLD_04110|LE19-114	JAMHJB_06960	97.59	100.00	291
OCDKLD_04170|LE19-114	JAMHJB_06930	96.78	100.00	807
OCDKLD_04175|LE19-114	JAMHJB_06925	96.26	101.28	1875
OCDKLD_04180|LE19-114	JAMHJB_06915	97.75	100.00	1110
OCDKLD_04115|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04120|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04125|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04130|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04135|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04140|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04145|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04150|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04155|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04160|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04185|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04190|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04195|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04200|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04205|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04210|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_18855|LE19-114	Unmatched	0.0	0.0	0
